8.915999999999999481e-01 2.097620000000000040e-02 8.399999999999999535e-05 1.273000000000000000e-02
9.209500000000000464e-01 2.102690000000000115e-02 9.100000000000000287e-05 1.273000000000000000e-02
9.503000000000000336e-01 2.106940000000000202e-02 6.399999999999999710e-05 1.273000000000000000e-02
9.796500000000000208e-01 2.101700000000000096e-02 8.399999999999999535e-05 1.273000000000000000e-02
1.008999999999999897e+00 2.093340000000000131e-02 8.399999999999999535e-05 1.273000000000000000e-02
1.038350000000000106e+00 2.091209999999999944e-02 8.899999999999999491e-05 1.273000000000000000e-02
1.065250000000000030e+00 2.090460000000000235e-02 6.799999999999999946e-05 1.273000000000000000e-02
1.100749999999999895e+00 2.100379999999999955e-02 7.299999999999999903e-05 1.273000000000000000e-02
1.126400000000000068e+00 2.107039999999999955e-02 8.600000000000000331e-05 1.273000000000000000e-02
1.132730000000000015e+00 2.109899999999999970e-02 7.299999999999999903e-05 1.273000000000000000e-02
1.158179999999999987e+00 2.108089999999999964e-02 1.060000000000000016e-04 1.273000000000000000e-02
1.183640000000000025e+00 2.094680000000000153e-02 6.899999999999999667e-05 1.273000000000000000e-02
1.209089999999999998e+00 2.086370000000000238e-02 1.219999999999999974e-04 1.273000000000000000e-02
1.234550000000000036e+00 2.082089999999999982e-02 7.299999999999999903e-05 1.273000000000000000e-02
1.260000000000000009e+00 2.078560000000000130e-02 6.999999999999999387e-05 1.273000000000000000e-02
1.285460000000000047e+00 2.079920000000000033e-02 7.899999999999999579e-05 1.273000000000000000e-02
1.310910000000000020e+00 2.081410000000000204e-02 7.200000000000000182e-05 1.273000000000000000e-02
1.336359999999999992e+00 2.112560000000000132e-02 8.799999999999999771e-05 1.273000000000000000e-02
1.361820000000000030e+00 2.133700000000000180e-02 8.799999999999999771e-05 1.273000000000000000e-02
1.387270000000000003e+00 2.125400000000000206e-02 9.899999999999999404e-05 1.273000000000000000e-02
1.412730000000000041e+00 2.124460000000000237e-02 8.399999999999999535e-05 1.273000000000000000e-02
1.438180000000000014e+00 2.123919999999999975e-02 1.479999999999999925e-04 1.273000000000000000e-02
1.463640000000000052e+00 2.107290000000000205e-02 9.500000000000000523e-05 1.273000000000000000e-02
1.489090000000000025e+00 2.096349999999999950e-02 1.029999999999999964e-04 1.273000000000000000e-02
1.514550000000000063e+00 2.084019999999999970e-02 9.699999999999999963e-05 1.273000000000000000e-02
1.540000000000000036e+00 2.074499999999999955e-02 1.069999999999999988e-04 1.273000000000000000e-02
1.565460000000000074e+00 2.061069999999999916e-02 1.389999999999999905e-04 1.273000000000000000e-02
1.590910000000000046e+00 2.054120000000000251e-02 1.210000000000000002e-04 1.273000000000000000e-02
1.616360000000000019e+00 2.053939999999999932e-02 1.060000000000000016e-04 1.273000000000000000e-02
1.641820000000000057e+00 2.049089999999999939e-02 1.190000000000000058e-04 1.273000000000000000e-02
